question_id,depth,question,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value,leaf_11_key,leaf_11_concept,leaf_11_label,leaf_11_entity,leaf_11_period,leaf_11_unit,leaf_11_value,leaf_12_key,leaf_12_concept,leaf_12_label,leaf_12_entity,leaf_12_period,leaf_12_unit,leaf_12_value,leaf_13_key,leaf_13_concept,leaf_13_label,leaf_13_entity,leaf_13_period,leaf_13_unit,leaf_13_value,leaf_14_key,leaf_14_concept,leaf_14_label,leaf_14_entity,leaf_14_period,leaf_14_unit,leaf_14_value,leaf_15_key,leaf_15_concept,leaf_15_label,leaf_15_entity,leaf_15_period,leaf_15_unit,leaf_15_value,leaf_16_key,leaf_16_concept,leaf_16_label,leaf_16_entity,leaf_16_period,leaf_16_unit,leaf_16_value
1,1,which quantity is given by the sum of current liabilities and short term investments for Crimson Pharmaceuticals in 2021,"sum(85_current_liabilities, 85_short_term_investments)","{""op"": ""sum"", ""left"": {""leaf"": ""85_current_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""85_short_term_investments"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""node"", ""op"": ""sum"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""]}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""]}}",130622.0,1,1,1,686579303,119540831,42,0.471,1,2,2,85_current_liabilities,current_liabilities,current liabilities,Crimson Pharmaceuticals,2021,M_USD,65249.0,85_short_term_investments,short_term_investments,short term investments,Crimson Pharmaceuticals,2021,M_USD,65373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,May you give the longterm liabilities for Titan Consumer Brands in 2025?,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""65_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""65_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities""}",230029.0,2,0,1,262950628,239670711,42,0.468,0,1,2,65_total_liabilities,total_liabilities,total liabilities,Titan Consumer Brands,2025,M_USD,347347.0,65_current_liabilities,current_liabilities,current liabilities,Titan Consumer Brands,2025,M_USD,117318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,state the current liabilities for Pinnacle Health Group in 2023 .,33_current_liabilities,"{""leaf"": ""33_current_liabilities"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""]}",4458.0,1,0,0,726600539,795285932,42,0.395,0,1,1,33_current_liabilities,current_liabilities,current liabilities,Pinnacle Health Group,2023,M_USD,4458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,whats the value of the difference between total assets and dividends paid for Atlas Global Industries in 2020,"diff(24_total_assets, 24_dividends_paid)","{""op"": ""diff"", ""left"": {""leaf"": ""24_total_assets"", ""depth"": 0}, ""right"": {""leaf"": ""24_dividends_paid"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""node"", ""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""]}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""]}}",53334.0,1,1,1,34126396,31994523,42,0.209,1,2,2,24_total_assets,total_assets,total assets,Atlas Global Industries,2020,M_USD,53334.0,24_dividends_paid,dividends_paid,dividends paid,Atlas Global Industries,2020,M_USD,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,state the result of dividends paid scaled by income tax for Meridian Systems Inc in 2024.,"mul(10_dividends_paid, 10_income_tax)","{""op"": ""mul"", ""left"": {""leaf"": ""10_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""10_income_tax"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""node"", ""op"": ""mul"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""]}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""rate""]}}",698.6608072777457,1,1,1,542621108,646412689,42,0.381,1,2,2,10_dividends_paid,dividends_paid,dividends paid,Meridian Systems Inc,2024,M_USD,3752.0,10_income_tax,income_tax,income tax,Meridian Systems Inc,2024,ratio,0.1862102364812755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,May you calculate the capex for Helix BioSciences in 2023 ?,75_capex,"{""leaf"": ""75_capex"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""]}",12175.0,4,0,0,768820204,697808098,42,0.21,0,1,1,75_capex,capex,capex,Helix BioSciences,2023,M_USD,12175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,Could you give the accounts receivable for Helix BioSciences in 2021,73_accounts_receivable,"{""leaf"": ""73_accounts_receivable"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""]}",16808.0,1,0,0,632719211,298704996,42,0.479,0,1,1,73_accounts_receivable,accounts_receivable,accounts receivable,Helix BioSciences,2021,M_USD,16808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,you should give the the maximum of short term investments for SilverLine Retail Inc using values from 2020 through 2025.,"max(max(max(max(max(42_short_term_investments, 43_short_term_investments), 44_short_term_investments), 45_short_term_investments), 46_short_term_investments), 47_short_term_investments)","{""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""42_short_term_investments"", ""depth"": 0}, ""right"": {""leaf"": ""43_short_term_investments"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""44_short_term_investments"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""45_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""46_short_term_investments"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""47_short_term_investments"", ""depth"": 0}, ""depth"": 5}","{""kind"": ""time_agg"", ""op"": ""max""}",59865.0,4,0,5,171432881,749621470,42,0.27,0,1,6,42_short_term_investments,short_term_investments,short term investments,SilverLine Retail Inc,2020,M_USD,40367.0,43_short_term_investments,short_term_investments,short term investments,SilverLine Retail Inc,2021,M_USD,59865.0,44_short_term_investments,short_term_investments,short term investments,SilverLine Retail Inc,2022,M_USD,47075.0,45_short_term_investments,short_term_investments,short term investments,SilverLine Retail Inc,2023,M_USD,31236.0,46_short_term_investments,short_term_investments,short term investments,SilverLine Retail Inc,2024,M_USD,50077.0,47_short_term_investments,short_term_investments,short term investments,SilverLine Retail Inc,2025,M_USD,43056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,May you calculate the sum of operating income for Helix BioSciences in 2024 and the minimum of accounts receivable for Helix BioSciences using values from 2020 through 2024?,"sum(operating_income, min(min(min(min(72_accounts_receivable, 73_accounts_receivable), 74_accounts_receivable), 75_accounts_receivable), 76_accounts_receivable))","{""op"": ""sum"", ""left"": {""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""76_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""76_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""76_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}, ""right"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""72_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""73_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""74_accounts_receivable"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""75_accounts_receivable"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""76_accounts_receivable"", ""depth"": 0}, ""depth"": 4}, ""depth"": 5}","{""kind"": ""node"", ""op"": ""sum"", ""left"": {""kind"": ""derived_concept"", ""name"": ""operating_income""}, ""right"": {""kind"": ""time_agg"", ""op"": ""min""}}",130581.0,3,1,5,166944844,231191390,42,0.151,1,2,8,76_revenue,revenue,revenue,Helix BioSciences,2024,M_USD,294847.0,76_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,Helix BioSciences,2024,M_USD,152973.0,76_operating_expenses,operating_expenses,operating expenses,Helix BioSciences,2024,M_USD,28101.0,72_accounts_receivable,accounts_receivable,accounts receivable,Helix BioSciences,2020,M_USD,20427.0,73_accounts_receivable,accounts_receivable,accounts receivable,Helix BioSciences,2021,M_USD,16808.0,74_accounts_receivable,accounts_receivable,accounts receivable,Helix BioSciences,2022,M_USD,29904.0,75_accounts_receivable,accounts_receivable,accounts receivable,Helix BioSciences,2023,M_USD,28326.0,76_accounts_receivable,accounts_receivable,accounts receivable,Helix BioSciences,2024,M_USD,36417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,which value corresponds to the the minimum of accounts receivable for Cobalt Semiconductor using values from 2022 through 2025,"min(min(min(68_accounts_receivable, 69_accounts_receivable), 70_accounts_receivable), 71_accounts_receivable)","{""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""68_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""69_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""70_accounts_receivable"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""71_accounts_receivable"", ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""min""}",2888.0,3,0,3,407943839,103848421,42,0.524,0,1,4,68_accounts_receivable,accounts_receivable,accounts receivable,Cobalt Semiconductor,2022,M_USD,4459.0,69_accounts_receivable,accounts_receivable,accounts receivable,Cobalt Semiconductor,2023,M_USD,4686.0,70_accounts_receivable,accounts_receivable,accounts receivable,Cobalt Semiconductor,2024,M_USD,2888.0,71_accounts_receivable,accounts_receivable,accounts receivable,Cobalt Semiconductor,2025,M_USD,7589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
